ID,Book Title,Author,Lenght,Price
99,"[GERMAN] - ICEBREAKER - MAPLE HILLS-REIHE, TEIL 1 (UNGEKÜRZT)",BY HANNAH GRACE,15 hr 5 min,Coming soon
100,A VICIOUS GAME,BY MELISSA BLAIR,14 hr 16 min,Coming soon
101,THE SECOND WIFE,BY MIRANDA RIJKS,8 hr 35 min,$24.99
102,12 RULES FOR LIFE: AN ANTIDOTE TO CHAOS,BY JORDAN B. PETERSON,15 hr 56 min,$32.00
103,WINTER LOST,BY PATRICIA BRIGGS,11 hr 0 min,Coming soon
104,COUNTING THE COST,BY JILL DUGGAR,7 hr 7 min,$23.99
105,YOU'VE GOT THIS: SEVEN STEPS TO A LIFE YOU LOVE,BY MICHAELA DUNBAR,4 hr 24 min,$27.99
106,"TOMORROW, AND TOMORROW, AND TOMORROW: A NOVEL",BY GABRIELLE ZEVIN,13 hr 52 min,$22.50
107,[SPANISH] - HABITACIÓN 241,BY CHRISTINA TEMPEST,0 hr 18 min,$2.99
108,PSYCHOLOGY 101: HOW TO UNDERSTAND YOURSELF AND OTHERS,BY NATHAN DEWALL,10 hr 17 min,$23.99
109,TWISTED HATE,BY ANA HUANG,15 hr 0 min,$24.99
110,A LITTLE LIFE: A NOVEL,BY HANYA YANAGIHARA,32 hr 51 min,$35.00
111,THE LIGHT WE CARRY: OVERCOMING IN UNCERTAIN TIMES,BY MICHELLE OBAMA,9 hr 59 min,$25.00
112,ALL GOOD PEOPLE HERE: A NOVEL,BY ASHLEY FLOWERS,10 hr 35 min,$20.00
113,THE COUPLE NEXT DOOR: A NOVEL,BY SHARI LAPENA,8 hr 41 min,$20.00
114,HELLO BEAUTIFUL (OPRAH'S BOOK CLUB): A NOVEL,BY ANN NAPOLITANO,15 hr 6 min,$22.50
115,NEVER SPLIT THE DIFFERENCE: NEGOTIATING AS IF YOUR LIFE DEPENDED ON IT,BY CHRIS VOSS,8 hr 8 min,$24.99
116,ONE OF US IS LYING,BY KAREN M. MCMANUS,10 hr 44 min,$27.50
117,"CRITICAL THINKING: HOW TO EFFECTIVELY REASON, UNDERSTAND IRRATIONALITY, AND MAKE BETTER DECISIONS",BY STUART VYSE,6 hr 5 min,$14.99
118,YOU COACH YOU: THE NO.1 SUNDAY TIMES BUSINESS BESTSELLER – HOW TO OVERCOME CHALLENGES AND TAKE CONTROL OF YOUR CAREER,BY SARAH ELLIS,6 hr 19 min,Coming soon
119,BECOMING: THE SUNDAY TIMES NUMBER ONE BESTSELLER,BY MICHELLE OBAMA,19 hr 3 min,Coming soon
120,A CALAMITY OF SOULS,BY DAVID BALDACCI,12 hr 0 min,Coming soon
121,"SEX STORIES FOR ADULTS: AN EROTICA COLLECTION OF EXPLICIT TABOO ENCOUNTERS FULL OF THREESOMES, SPANKING, BDSM, HARDCORE ANAL, CUCKOLD, ORGASMIC ORAL, FIRST TIME LESBIAN, NAUGHTY 365 DAYS, AND MORE.",BY SAMANTHA LEXI,1 hr 45 min,$12.95
122,LEFT TO DIE (AN ADELE SHARP MYSTERY—BOOK ONE),BY BLAKE PIERCE,8 hr 18 min,$1.99
123,DUNE: BOOK ONE IN THE DUNE CHRONICLES,BY FRANK HERBERT,21 hr 2 min,$44.99
124,MAKE YOUR BED: LITTLE THINGS THAT CAN CHANGE YOUR LIFE...AND MAYBE THE WORLD,BY WILLIAM H. MCRAVEN,1 hr 53 min,$15.98
125,[SPANISH] - CIEN AÑOS DE SOLEDAD,BY GABRIEL GARCÍA MÁRQUEZ,13 hr 17 min,$33.99
126,UNF*CK YOUR ANXIETY: USING SCIENCE TO REWIRE YOUR ANXIOUS BRAIN,BY FAITH G. HARPER,2 hr 44 min,$14.95
127,POOR THINGS,BY ALASDAIR GRAY,9 hr 15 min,$13.75
128,THE MIDNIGHT LIBRARY: A NOVEL,BY MATT HAIG,8 hr 50 min,$20.00
129,[SPANISH] - NUESTRA PARTE DE NOCHE,BY MARIANA ENRIQUEZ,23 hr 14 min,$24.99
130,A GAME OF THRONES: A SONG OF ICE AND FIRE: BOOK ONE,BY GEORGE R. R. MARTIN,33 hr 47 min,$40.00
131,THE BALLAD OF SONGBIRDS AND SNAKES (A HUNGER GAMES NOVEL),BY SUZANNE COLLINS,16 hr 16 min,$29.99
132,[SPANISH] - INQUEBRANTABLES: EDICIÓN AMPLIADA,BY DANIEL HABIF,6 hr 29 min,$21.99
133,FROM BLOOD AND ASH,BY JENNIFER L. ARMENTROUT,19 hr 46 min,$44.99
134,DOWN TO EARTH: GARDENING WISDOM,BY MONTY DON,7 hr 38 min,Coming soon
135,MAD HONEY: A NOVEL,BY JENNIFER FINNEY BOYLAN,15 hr 12 min,$25.00
136,A COURT OF SILVER FLAMES (1 OF 2) [DRAMATIZED ADAPTATION]: A COURT OF THORNS AND ROSES 4,BY SARAH J. MAAS,10 hr 0 min,$29.99
137,THE MAID: A NOVEL,BY NITA PROSE,9 hr 37 min,$22.50
138,[SPANISH] - EL DOMADOR DE CEREBROS,BY DAVID SERRANO,4 hr 3 min,$10.99
139,FINDING ME: A MEMOIR,BY VIOLA DAVIS,9 hr 15 min,$27.99
140,NEVER LIE,BY FREIDA MCFADDEN,7 hr 21 min,$24.99
141,SECRETLY YOURS: A NOVEL,BY TESSA BAILEY,10 hr 49 min,$27.99
142,THE HOLY GRAIL OF INVESTING: THE WORLD'S GREATEST INVESTORS REVEAL THEIR ULTIMATE STRATEGIES FOR FINANCIAL FREEDOM,BY CHRISTOPHER ZOOK,11 hr 28 min,Coming soon
143,A COURT OF THORNS AND ROSES (2 OF 2) [DRAMATIZED ADAPTATION]: A COURT OF THORNS AND ROSES 1,BY SARAH J. MAAS,5 hr 51 min,$19.99
144,AN INDIGENOUS PEOPLES' HISTORY OF THE UNITED STATES,BY ROXANNE DUNBAR-ORTIZ,9 hr 49 min,Coming soon
145,THE BOOK OF CHARLIE,BY DAVID VON DREHLE,7 hr 0 min,$19.99
146,THE HOUSE OF EVE,BY SADEQA JOHNSON,10 hr 37 min,$23.99
147,THE MOUNTAIN IS YOU: TRANSFORMING SELF-SABOTAGE INTO SELF-MASTERY,BY BRIANNA WIEST,5 hr 44 min,$12.99
148,I AM MORE THAN MY BODY: THE BODY NEUTRAL JOURNEY,BY BETHANY C. MEYERS,4 hr 22 min,Coming soon
149,SPARE,"BY PRINCE HARRY, THE DUKE OF SUSSEX",15 hr 37 min,Coming soon
150,A GAME OF THRONES,BY GEORGE R.R. MARTIN,33 hr 45 min,Coming soon
151,BECOMING SHERLOCK - THE RED CIRCLE,BY ANTHONY HOROWITZ,9 hr 17 min,$15.99
152,NOVEMBER 9: A NOVEL,BY COLLEEN HOOVER,9 hr 47 min,$23.99
153,REMINDERS OF HIM: A NOVEL,BY COLLEEN HOOVER,10 hr 17 min,$42.99
154,A BROKEN BLADE,BY MELISSA BLAIR,13 hr 21 min,$22.95
155,"[SPANISH] - COLECCIÓN DE HISTORIAS DE SEXO EXPLÍCITO: NOVELAS ERÓTICAS, DURAS Y SUCIAS PARA ADULTOS, LLENAS DE TRÍOS CALIENTES Y TÓRRIDOS, SEXO ANAL DURO, CHICAS MALAS, BDSM OSCURO, DOMINACIÓN, DADDIES SEDUCTORES ¡Y MUCHO MÁS!",BY MIA FOSTER,4 hr 12 min,$16.95
156,BLIND TRUST,BY ANNA VAN DIJK,9 hr 34 min,$10.99
157,"THE LORD OF THE RINGS, THE FELLOWSHIP OF THE RING",BY J.R.R. TOLKIEN,4 hr 35 min,$24.30 $7.17
158,BREAKING THE HABIT OF BEING YOURSELF,BY DR. JOE DISPENZA,10 hr 48 min,$49.95
159,KILLERS OF THE FLOWER MOON: THE OSAGE MURDERS AND THE BIRTH OF THE FBI,BY DAVID GRANN,9 hr 5 min,$20.00
160,"[GERMAN] - KING OF WRATH - KINGS OF SIN, TEIL 1 (UNGEKÜRZT)",BY ANA HUANG,13 hr 51 min,Coming soon
161,SIMPLY LIES,BY DAVID BALDACCI,11 hr 45 min,$27.99
162,RICH DAD POOR DAD: 20TH ANNIVERSARY EDITION: WHAT THE RICH TEACH THEIR KIDS ABOUT MONEY THAT THE POOR AND MIDDLE CLASS DO NOT!,BY ROBERT T. KIYOSAKI,8 hr 24 min,$35.99
163,OUTLIVE: THE SCIENCE AND ART OF LONGEVITY,BY PETER ATTIA,17 hr 7 min,$25.00
164,"THE VISION-DRIVEN LEADER: 10 QUESTIONS TO FOCUS YOUR EFFORTS, ENERGIZE YOUR TEAM, AND SCALE YOUR BUSINESS",BY MICHAEL HYATT,4 hr 48 min,$19.99
165,THE DUTCH HOUSE: A NOVEL,BY ANN PATCHETT,9 hr 54 min,$27.99
166,THE GUEST LIST: A NOVEL,BY LUCY FOLEY,10 hr 22 min,$27.99
167,ELON MUSK,BY WALTER ISAACSON,20 hr 39 min,$34.99
168,NORMAL PEOPLE: A NOVEL,BY SALLY ROONEY,7 hr 35 min,$17.50
169,MEATEATER'S AMERICAN HISTORY: THE LONG HUNTERS (1761-1775),BY CLAY NEWCOMB,6 hr 2 min,$17.50
170,ALL THE LIGHT WE CANNOT SEE,BY ANTHONY DOERR,17 hr 1 min,Coming soon
171,"THE WAGER: A TALE OF SHIPWRECK, MUTINY AND MURDER",BY DAVID GRANN,8 hr 28 min,$22.50
172,"THE HUNGER GAMES (HUNGER GAMES, BOOK ONE)",BY SUZANNE COLLINS,10 hr 35 min,$27.99
173,SANCTUARY OF THE SHADOW,BY AURORA ASCHER,11 hr 15 min,$24.99
174,THE INMATE,BY FREIDA MCFADDEN,8 hr 5 min,$24.99
175,BOOK LOVERS,BY EMILY HENRY,11 hr 24 min,$22.50
176,TINY BEAUTIFUL THINGS (10TH ANNIVERSARY EDITION): ADVICE FROM DEAR SUGAR,BY CHERYL STRAYED,10 hr 41 min,$20.00
